rule_label,lhs,rhs,support_mean,support_std,support_ci95_low,support_ci95_high,confidence_mean,confidence_std,confidence_ci95_low,confidence_ci95_high,lift_mean,lift_std,lift_ci95_low,lift_ci95_high,iterations
"station, PM10, NO2, O3, TEMP -> WSPM","station, PM10, NO2, O3, TEMP",WSPM,0.0022148395226447262,9.180522951477607e-05,0.0020421614409606406,0.002387636201912386,0.9301384510049672,0.01013216643591926,0.9164700087811285,0.9538380620763104,1.2068137361540152,0.01871907112135926,1.1705599792456645,1.2436139809807518,30
"PM2.5, PM10, NO2, O3, TEMP -> WSPM","PM2.5, PM10, NO2, O3, TEMP",WSPM,0.0018837447187013564,9.149890306779681e-05,0.001729197242606182,0.0020483433400044476,0.9272745990269108,0.01086620804410425,0.9081820637549666,0.9465183951946285,1.2025806453761778,0.022007241648600843,1.1521210365075893,1.2337972526014427,30
"station, PM2.5, NO2, O3, TEMP -> WSPM","station, PM2.5, NO2, O3, TEMP",WSPM,0.0019469275813505298,8.805052111620742e-05,0.001789859906604403,0.0020831220813875917,0.9247479638594085,0.011434544931800728,0.9047126617920516,0.9484506999982071,1.1996109764070595,0.022981142370909778,1.1468782751302578,1.2433135683475902,30
"station, PM2.5, PM10, O3, TEMP -> WSPM","station, PM2.5, PM10, O3, TEMP",WSPM,0.0018635238307019497,8.271635060664098e-05,0.0017123193239937736,0.0019908605737158106,0.9240815006388949,0.009768287168776552,0.9079427875836884,0.9454783819827006,1.1979556496245711,0.01984763896249708,1.1605998386294403,1.2296655339649523,30
