hour,rows
0,220
1,224
2,217
3,212
4,205
5,222
6,224
7,221
8,217
9,228
10,232
11,235
12,237
13,238
14,240
15,237
16,236
17,234
18,230
19,225
20,222
21,223
22,223
23,224
