lhs,rhs,g3,support,confidence,lift,antecedent_pairs,valid_pairs,violation_rate,config_name,rule_label,lhs_length,extent_threshold,level,exact_comparison,discovery_kind,is_minimal,g3_mode,total_pairs,violations,baseline_confidence,baseline_confidence_std
time_slot,WSPM,0.04653937947494036,0.24955223880597016,0.8579381302029211,1.1132354811504692,350284,300522,0.1420618697970789,medium,time_slot -> WSPM,1,0.1,2,False,candidate,True,greedy,1403650,49762,0.7706708461324715,0.0004727235792622876
"PM2.5, PM10, NO2, O3, TEMP",WSPM,0.07398568019093078,0.0012659851102482813,0.8885762521102982,1.155337674690861,1777,1579,0.11142374788970177,medium,"PM2.5, PM10, NO2, O3, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,198,0.7691052335396737,0.01511135100404142
"station, PM10, NO2, O3, TEMP",WSPM,0.09188544152744631,0.001612225269832223,0.898806893504198,1.1628172879030416,2263,2034,0.10119310649580204,medium,"station, PM10, NO2, O3, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,229,0.7729562527618205,0.010215497131890506
"station, PM2.5, NO2, O3, TEMP",WSPM,0.08651551312649165,0.0013764114985929542,0.8871635610766045,1.1514690075241847,1932,1714,0.11283643892339545,medium,"station, PM2.5, NO2, O3, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,218,0.7704623878536923,0.01275627625749845
"station, PM2.5, PM10, O3, TEMP",WSPM,0.081145584725537,0.0012738218216791935,0.8870246085011185,1.1468929277346573,1788,1586,0.11297539149888147,medium,"station, PM2.5, PM10, O3, TEMP -> WSPM",5,0.1,6,False,candidate,True,greedy,1403650,202,0.7734153616703953,0.013139989882359808
