config_name,threshold_PM25,threshold_PM10,threshold_NO2,threshold_O3,threshold_TEMP,threshold_WSPM,num_rfds,num_distinct_rhs,rhs_list,num_rfds_rhs_WSPM,share_rfds_rhs_WSPM,best_rule_by_confidence,best_rule_rhs,best_rule_g3,best_rule_support,best_rule_confidence,best_rule_lift,min_g3,max_confidence,max_support
strict_075x,7.5,11.25,7.5,7.5,1.5,0.75,19,6,"NO2, PM10, PM2.5, WSPM, station, time_slot",12,0.631578947368421,"time_slot, NO2, O3, TEMP -> WSPM",WSPM,0.09486873508353222,0.001567342286182453,0.894090909090909,1.3353397750673213,0.06145584725536993,0.894090909090909,0.001567342286182453
medium,10.0,15.0,10.0,10.0,2.0,1.0,5,1,WSPM,5,1.0,"station, PM10, NO2, O3, TEMP -> WSPM",WSPM,0.09188544152744631,0.001612225269832223,0.898806893504198,1.1628172879030416,0.04653937947494036,0.898806893504198,0.24955223880597016
loose_150x,15.0,22.5,15.0,15.0,3.0,1.5,1,1,WSPM,1,1.0,∅ -> WSPM,WSPM,0.023866348448687402,1.0,0.8905987959961529,1.0000000000000002,0.023866348448687402,0.8905987959961529,1.0
wspm_strict_05,10.0,15.0,10.0,10.0,2.0,0.5,4,1,WSPM,4,1.0,"station, time_slot, PM10, NO2, O3, TEMP -> WSPM",WSPM,0.08651551312649165,0.0006554340469490257,0.7956521739130434,1.5116679286845187,0.06205250596658711,0.7956521739130434,0.0006554340469490257
wspm_loose_15,10.0,15.0,10.0,10.0,2.0,1.5,1,1,WSPM,1,1.0,∅ -> WSPM,WSPM,0.023866348448687402,1.0,0.8905987959961529,1.0000000000000002,0.023866348448687402,0.8905987959961529,1.0
wspm_loose_20,10.0,15.0,10.0,10.0,2.0,2.0,1,1,WSPM,1,1.0,∅ -> WSPM,WSPM,0.007159904534606243,1.0,0.9525593987105048,0.9999999999999998,0.007159904534606243,0.9525593987105048,1.0
