lhs,rhs,g3,support,confidence,lift,antecedent_pairs,valid_pairs,violation_rate,config_name,rule_label,lhs_length,extent_threshold,level,exact_comparison,discovery_kind,is_minimal,g3_mode,total_pairs,violations,baseline_confidence,baseline_confidence_std
"station, time_slot, PM10, NO2, O3, TEMP",WSPM,0.08651551312649165,0.0006554340469490257,0.7956521739130434,1.5116679286845187,920,732,0.20434782608695656,wspm_strict_05,"station, time_slot, PM10, NO2, O3, TEMP -> WSPM",6,0.1,7,False,candidate,True,greedy,1403650,188,0.5263405797101448,0.01914130811983711
"station, time_slot, PM2.5, NO2, O3, TEMP",WSPM,0.07517899761336516,0.0005656680796494853,0.7732997481108312,1.4662103000875588,794,614,0.22670025188916876,wspm_strict_05,"station, time_slot, PM2.5, NO2, O3, TEMP -> WSPM",6,0.1,7,False,candidate,True,greedy,1403650,180,0.5274139378673384,0.021540288026055746
"station, time_slot, PM2.5, PM10, O3, TEMP",WSPM,0.06205250596658711,0.0005008371032664838,0.7951635846372689,1.5232991189027159,703,559,0.20483641536273112,wspm_strict_05,"station, time_slot, PM2.5, PM10, O3, TEMP -> WSPM",6,0.1,7,False,candidate,True,greedy,1403650,144,0.5220009483167378,0.019691506489076246
"time_slot, PM2.5, PM10, NO2, O3, TEMP",WSPM,0.06801909307875895,0.0005464325152281552,0.7900912646675359,1.5237616293688714,767,606,0.20990873533246412,wspm_strict_05,"time_slot, PM2.5, PM10, NO2, O3, TEMP -> WSPM",6,0.1,7,False,candidate,True,greedy,1403650,161,0.5185136897001302,0.025526930355599695
